AdditionalInformation,QuestionStem,Answer,A,B,C,D,E,F,G
【解析】包层传导模是一种在光纤皮层中传输并保持的模，通常选用可吸收或衰减包层传导模的皮层材料，以防止因模式耦合而使包层模能量再次转换为纤芯的导模，从而减少色散，包层传导模又称包层模。    2    【考纲知识点】传输介质,下面关于传输介质的叙述中，不正确的是(      )。,C,常用的传输介质分为有线传输介质和无线传输介质两大类,双绞线分为屏蔽双绞线与非屏蔽双绞线两大类，都是两两绞合在一起,光纤中信息在石英玻璃纤维中传播，光纤外的包层是为了增强光纤的抗拉强度,无线传输介质有无线电波、微波、红外线等，其中wifi工作在微波频段,,,
【解析】Internet是最大的广域网。    2    【考纲知识点】广域网,下面对广域网的叙述中，有错误的是(      )。,A,广域网就是Internet，覆盖范围大，传输距离远，传输速率慢，误码率高,广域网一般采用C/S工作模式,广域网采用网状拓扑结构，现在一般采用存储转发技术,广域网涉及OSI的低三层：物理层、数据链路层和网络层,,,
【解析】杀病毒软件能检测出大部分的病毒，并不能检测出所有的病毒，也只能消除一部分的病毒    3    【考纲知识点】计算机病毒,下列关于计算机病毒的描述中，有错误的是(      )。,D,计算机病毒会引起BIOS及其他硬件的损坏,计算机病毒具有破坏性、隐蔽性、传染性和潜伏性,计算机病毒其实就是一种计算机程序,杀病毒软件虽然能检测出所有的病毒，但不一定能消除所有的病毒,,,
【解析】“云”实质上就是一个网络，狭义上讲，云计算就是一种提供资源的网络，使用者可以随时获取“云”上的资源，按需求量使用，并且可以看成是无限扩展的，只要按使用量付费就可以。从广义上说，云计算是与信息技术、软件、互联网相关的一种服务，这种计算资源共享池叫做“云”，云计算把许多计算资源集合起来，通过软件实现自动化管理，只需要很少的人参与，就能让资源被快速提供。    2    【考纲知识点】云计算,云计算就是把计算资源都放到(      )上。,B,对等网,因特网,广域网,无线网,,,
【解析】云计算是基于互联网的相关服务的增加、使用和交付模式，通常涉及通过互联网来提供动态易扩展且经常是虚拟化的资源。    4    【考纲知识点】云计算,基于互联网的相关服务的增加、使用和交付模式，通常涉及通过互联网来提供动态易扩展且经常是虚拟化的资源。这种新的计算机应用领域称为(      )。,B,嵌入式技术,云计算,虚拟现实技术,物联网技术,,,
【解析】物联网是基于互联网、RFID技术、EPC标准，在计算机互联网的基础上，利用射频识别技术、无线数据通信技术等，构造了一个实现全球物品信息实时共享的实物互联网。    2    【考纲知识点】物联网技术,小明用手机打开家中的空调、窗帘和电视机，应用的技术是(      )。,B,多媒体技术,物联网技术,云计算技术,虚拟现实技术,,,
【解析】微电子技术和超大规模集成电路技术在计算机上的大量使用，计算机向着微型化的方向发展    4    【考纲知识点】计算机发展方向,下面关于计算机发展方向的论述中，不正确的一项是(      )。,B,“信息高速公路”的建设使得计算机在网络化的方向上发展迅速,由于微电子技术和超大规模集成电路技术在计算机上的大量使用，计算机向着巨型化的方向发展,“深度学习”、“机器人足球赛”等事例反映了计算机在智能化上的发展方向,量子计算机是目前发展比较快的研究领域，研究量子计算机的目的是为了解决计算机中的能耗问题,,,
【解析】科学计算是计算机最早的应用领域，是利用计算机来完成科学研究和工程技术中提出的数值计算问题。因为计算规模庞大，所以一般使用的是巨型机。    2    【考纲知识点】计算机的应用领域,下面哪一个计算机应用领域一般使用的是巨型机(      )。,D,信息处理,过程控制,电子商务,科学计算,,,
【解析】这是应用了信息技术中的虚拟现实技术    2    【考纲知识点】多媒体应用,有些同学在“QQ牧场”上喂养QQ电子宠物，这是应用了信息技术中的(      )。,B,人工智能技术,虚拟现实技术,即时聊天技术,文件传输技术,,,
【解析】OSI-RM网络层上，IP协议可以提供面向无连接的、不可靠的服务。    4    【考纲知识点】OSI-RM网络层,"下面关于OSI-RM网络层的叙述中,有错误的是(      )。",B,工作在网络层的设备有：路由器、三层交换机等,工作在网络层的IP协议可以提供面向连接的、不可靠的服务,网络层的数据传输单位是分组(数据包),工作在网络层的ICMP协议是一种面向无连接的协议，用于传输出错报告控制信息,,,
【解析】分组交换中数据报每个分组都要进行路由选择，要加上源、目的地址和分组编号等信息；但是虚电路每个分组不需要这些信息。    3    【考纲知识点】数据交换技术,下列有关分组交换技术的叙述中，不正确的一项是(      )。,B,分组交换又分为数据报和虚电路,分组交换中数据报和虚电路一样，每个分组都要加上源、目的地址和分组编号等信息,数据报和虚电路都能提高信道利用率，提高数据传输速率,数据报和虚电路虽然存在转发时延，但是转发时延比报文交换要少得多,,,
【解析】按网络内主机之间的关系可以分为对等网络和主从关系网络    3    【考纲知识点】计算机网络网络的概念,下面关于计算机网络的概念、功能、分类等叙述中，有错误的一项是(      )。,D,计算机网络与多机互联系统的区别就在于是否有网络协议,按覆盖范围计算机网络可分为LAN、MAN、WAN,计算机网络的基本功能是数据通信，最主要功能是资源共享,按使用范围可以分为对等网络和主从关系网络,,,
【解析】在所有计算机网络拓扑结构中，任一结点的故障都不会影响整个网络系统的是总线型拓扑结构；在所有计算机网络拓扑结构中，最容易诊断故障的是星型拓扑结构；工作可靠性最高的是网状拓扑结构。    3    【考纲知识点】计算机网络拓扑结构,下面关于计算机网络拓扑结构的叙述中，完全正确的一项是(      )。,D,在所有计算机网络拓扑结构中，任一结点的故障都不会影响整个网络系统的是星型拓扑结构,在所有计算机网络拓扑结构中，最容易诊断故障的是网状拓扑结构,在所有计算机网络拓扑结构中，工作可靠性最高的是环型拓扑结构,在所有计算机网络拓扑结构中，集中式网络是星型拓扑结构,,,
【解析】OSI是一个开放的计算机网络体系结构，它只对网络体系进行系统性规划，不涉及具体实现的细节。    4    【考纲知识点】计算机网络体系结构OSI-RM,下面关于计算机网络体系结构OSI-RM的叙述中，有错误的是(      )。,D,计算机网络体系结构包括，计算机之间相互通信的层、协议和接口三个要素,在计算机网络体系结构中，每一层的功能都是独立的，它利用其下一层提供的服务，并为其上一层提供服务,在计算机网络体系结构中，各层的功能通过通信原语进行规定,OSI是一个开放的计算机网络体系结构，它描述了计算机网络的实现细节,,,
【解析】同一个主机发出的属于同一报文的IP数据包，可能会经过不同的路径到达目的主机。    4    【考纲知识点】IP协议,"下面关于IP协议的叙述中,有错误的是(      )。",D,IP协议只是一个地址协议，并不保证数据包的完整,IP协议采用数据报交换技术，负责在网络上根据IP地址传送数据包,IP数据包的头部中会带有数据包的源、目的IP地址以及下一跳的地址,同一个主机发出的属于同一报文的IP数据包，一定会经过不同的路径到达目的主机,,,
【解析】TCP使用的流量控制协议是可变大小的滑动窗口协议。    4    【考纲知识点】TCP协议,"下面关于TCP协议的叙述中,有错误的是(      )。",B,TCP协议是一种面向连接的、可靠的、基于字节流的传输层通信协议,TCP协议依靠滑动窗口协议保证其传输的可靠性，防止丢包,TCP用一个校验和函数来检验数据是否有错误,TCP建立一个连接需要经过三次握手，释放一个连接需要经过四次挥手,,,
【解析】模拟信号的另一个优点是，当达到相同的效果，模拟信号处理比数字信号处理更简单。模拟信号的处理可以直接通过模拟电路组件（例如运算放大器等）实现，而数字信号处理往往涉及复杂的算法，甚至需要专门的数字信号处理器。缺点：模拟信号容易受到噪声的影响。信号被多次复制，或进行长距离传输之后，这些随机噪声的影响可能会变得十分显著。噪声效应会使信号产生有损。有损后的模拟信号几乎不可能再次被还原，因为对所需信号的放大会同时对噪声信号进行放大。    3    【考纲知识点】模拟信号特点,以下属于模拟信号特点的一项是(      )。,B,抗干扰能力强,噪声会随放大次数的增多不断增大,传输中便于加密,传输时对同步要求较高,,,
"【解析】每个HTML文件都用〈html〉……〈/html〉开始和结束,文件可以分成“头”和“正文”两部分，用〈head〉……〈/head〉表示头的开始和结束,〈body〉……〈/body〉表示正文的开始和结束。    3    【考纲知识点】HTML文件","一个HTML文档必须包含3个元素,它们是html、head和(      )。",B,script,body,title,link,,,
【解析】细缆的直径为0.26厘米，最大传输距离185米，使用时与50Ω终端电阻（如图5）、T型连接器(如图6)、BNC接头与网卡相连；粗缆　(RG-11)的直径为1.27厘米，最大传输距离达到500米。由于直径相当粗，因此它的弹性较差，不适合在室内狭窄的环境内架设，而且RG-11连接头的制作方式也相对要复杂许多，并不能直接与电脑连接，它需要通过一个转接器转成AUI接头。    2    【考纲知识点】同轴电缆,下面关于传输介质同轴电缆的叙述中，有错误的是(      )。,B,同轴电缆可分为两种基本类型：基带同轴电缆和宽带同轴电缆,基带同轴电缆用于传输基带数字信号，粗缆采用BNC接口，细缆采用AUI接口,同轴电缆粗缆单根电缆长度可以达到500米，细缆单根电缆长度可以达到185米,同轴电缆细缆一般用于总线型网络布线连接,,,
【解析】局域网的MAC子层、LLC子层都对应着数据链路层，完成数据链路层的部分功能。    3    【考纲知识点】局域网,下面对局域网的叙述中，不正确的一项是(      )。,D,局域网的技术标准主要是IEEE制定的,局域网拓扑结构主要采用总线型、环型、星型,局域网组建好后，决定其性能的是网络协议和网络操作系统,局域网的MAC子层对应着数据链路层，LLC子层对应着网络层,,,
【解析】第一块成功用于个人电脑的CPU是intel公司1979年推出的8088芯片    2    【考纲知识点】计算机发展史,第一块成功用于个人电脑的CPU是(      )公司于1979年推出的。,B,IBM,Intel,AMD,Sun,,,
【解析】“云”中资源的数量是不固定的。    3    【考纲知识点】云计算,下列关于云计算特点的说法中，不正确的是(      )。,B,用户可利用简单终端，通过“云”实现超级计算任务,“云”具有固定的规模数量,同一个“云”可同时支撑不同的应用,“云”服务可按需购买,,,
"【解析】数字签名的方式通过第三方权威认证中心在网上认证身份,认证中心通常简称为CA。    2    【考纲知识点】数字签名",数字签名的方式一般通过第三方权威认证中心，在网上认证身份。认证中心通常简称为(      )。,A,CA,SET,CD,DES,,,
【解析】普通病毒需要传播受感染的驻留文件来进行复制，而蠕虫不使用驻留文件即可在系统之间进行自我复制。    2    【考纲知识点】蠕虫病毒,蠕虫病毒不具有传统病毒的(      )特征。,A,寄生性,自我繁殖能力,自我传播能力,潜伏性,,,
【解析】加密机制是数据保密性安全服务的基础，数据加密技术是信息安全系统的核心和关键技术。    2    【考纲知识点】数据加密技术,数据保密性安全服务的基础是(      )。,D,数据完整性机制,数字签名机制,访问控制机制,加密机制,,,
【解析】后门程序一般是指那些绕过安全性控制而获取对程序或系统访问权的程序。在软件的开发阶段，程序员常常会在软件内创建后门程序以便可以修改程序设计中的缺陷。但是，如果这些软件中的后门被其他人知道，或是在发布软件之前没有删除后门程序，那么它就成为了安全风险，容易被黑客或别有用心的人当成漏洞进行攻击。    2    【考纲知识点】信息安全，后门程序,在计算机使用中，那些绕过安全性控制而获取对程序或系统访问权的程序，被称为(      )。,B,系统漏洞,后门程序,系统插件,木马病毒,,,
【解析】肉机就是黑客通过电脑程序控制的那些远程电脑，而不是本地电脑。    4    【考纲知识点】木马的特征,以下关于木马的说法中，有错误的是(      )。,D,木马具有高度隐藏性，但是通常不具备传播能力，高度的隐藏能提高其生存能力,为了危害系统，木马多用一些高阶系统技术来隐藏自己，会与一些正常软件或系统发生冲突，造成系统变慢、崩溃等现象，或是为达到隐藏的目的，大面积的禁用安全软件和系统功能,木马盗窃机密信息、弹出广告、收集信息,木马开启后门，等待本地黑客控制，沦为肉机,,,
【解析】如果8位字长的机器数表示的范围是-127～127，可以采用原码或者是反码形式。    4    【考纲知识点】机器数编码,下列关于机器数的叙述中，有错误的是(      )。,C,如果要求0只有唯一的表示形式，那么就要采用补码形式,如果80H表示的是-128D，那么采用的是补码形式,如果8位字长的机器数表示的范围是-127~127，那么就只能采用反码形式,如果8位字长的计算机中采用原码形式，那么计算结果为-128时，就会产生溢出现象,,,
【解析】8421BCD码，是用4位二进制数来表示1位十进制数中的0~9这10个数码的一种表示方法。是一种二进制的数字编码形式，用二进制形式编码的十进制代码。    3    【考纲知识点】8421BCD码,"某数在计算机中用8421码表示为  011110001001     ,其真值是(      )。",A,789,789H,1929,11110001001B,,,
【解析】（2）（3）正确，（1）（4）错误。    4    【考纲知识点】计算机中的编码,"下列关于各种编码的说法，其中说法正确的个数是(      )。(1)校验位放在最高位时，大写字母“C”的奇校验码是(C3H) (2)(3501D)采用8421BCD码时是(11010100000001B)  (3)汉字“职”的区位码是5416,则它的机内码是(D6B0H)  (4)(-100D)10在字长8位的计算机中采用补码形式表示为(10011011B)",B,1,2,3,4,,,
【解析】符合规则的有（1）、（4）、（5）、（6）、（7）这五个。    3    【考纲知识点】进制数,下列各种进制数中，符合表示规则的有(      )个。( 1)  ( 567) 8    ( 2)  ( ADFH)  16       ( 3)  ( 1012011) 2         ( 4)  ( E3D0A) H ( 5)  ( 142701) 0    ( 6)  ( 60259)  D   ( 7)  ( 1101011100) B       ( 8)  ( 5028) 8,C,3,4,5,6,,,
【解析】最大的10位无符号二进制整数就是十个1，按三位一组进行转换，就是1777。    2    【考纲知识点】进制数的转换,最大的10位无符号二进制整数转换成八进制数形式是(      )。,B,1023,1777,1000,1024,,,
【解析】28=256，所以要表示256个灰度级，必须要使用8位编码。    2    【考纲知识点】进制数,一幅灰度级图像，其灰度范围在[0-255]，则该图像的一个像素的存储量为(      )。,C,1位,2位,1字节,2字节,,,
【解析】需求分析也称为软件需求分析、系统需求分析或需求分析工程等，是开发人员经过深入细致的调研和分析，准确理解用户和项目的功能、性能、可靠性等具体要求，将用户非形式的需求表述转化为完整的需求定义，从而确定系统必须做什么的过程。    4    【考纲知识点】软件工程,以下关于软件生命周期的叙述中，不正确的一项是(      )。,D,软件生命周期包括以下几个阶段：项目规划、需求定义和需求分析、软件设计、程序编码、软件测试、运行维护,程序编码阶段是将软件设计的结果转换成计算机可运行的程序代码。为了保证程序的可读性、易维护性和提高程序的运行效率，可以通过在该阶段中制定统一并符合标准的编写规范来使编程人员程序设计规范化,软件设计阶段主要根据需求分析的结果，对整个软件系统进行设计，如系统框架设计、数据库设计等,需求分析阶段对软件需要实现的各个功能进行详细分析。软件需求一旦确定，在整个软件开发过程中就不能再变化，这样才能保证软件开发的稳定性，并控制风险,,,
【解析】对现实生活中的实体抽象成类，这是面向对象程序设计的思想。    4    【考纲知识点】结构化程序设计,下述不是结构化程序设计方法的是(      )。,C,首先考虑总体，后考虑细节,对复杂问题，应设计一些子目标作为过渡，逐步细化,对现实生活中的实体抽象成类,将程序要解诀的任务分解为一个一个的目标，再对目标具体分解为小目标，将每一个目标称为模块,,,
"【解析】高级语言编写的程序是不能直接执行的，高级语言的执行有两类,分别是解释型和编译型?编译程序：它将用高级语言编写的源程序翻译成与之等价的用机器语言表示的目标程序,其翻译过程称为编译?    2    【考纲知识点】编译程序",将高级语言转换成机器语言，是由(      )完成的。,B,汇编语言,编译程序,转换程序,移植程序,,,
【解析】进程的三个基本状态：就绪、执行、挂起。就绪状态：进程已经获得了除CPU之外的所有资源，做好了运行的准备，一旦获得CPU便立即执行，即转换到执行状态。执行状态：进程已经获得CPU，其程序正在执行。在单CPU中，只能有一个进程处于执行状态。挂起状态：进程因等待某个事件而暂停执行时的状态，也称为“等待”状态或“睡眠”状态。    4    【考纲知识点】进程的三态,进程的三态模型是指(      )。,A,运行态、挂起态、就绪态,新建态、运行态、终止态,运行态、就绪态、终止态,新建态、就绪态、运行态,,,
【解析】格式化（format）是指对磁盘或磁盘中的分区（partition）进行初始化的一种操作，这种操作通常会导致现有的磁盘或分区中所有的文件被清除。格式化通常分为低级格式化和高级格式化。如果没有特别指明，对硬盘的格式化通常是指高级格式化，高级格式化就是清除硬盘上的数据、生成引导区信息、初始化FAT表、标注逻辑坏道等。一般我们重装系统时都是高级格式化，因为MBR不重写，所以有存在病毒的可能。    3    【考纲知识点】格式化,"在Windows中,关于磁盘格式化的说法中,有错误的一项是(      )。",B,格式化时会撤消磁盘上原存有的信息(包含病毒),格式化时会删除磁盘的根目录,在“我的电脑”窗口，右击盘符，单击快捷菜单中的“格式化”命令,在“我的电脑”窗口，单击盘符，从“文件”菜单中选择格式化命令,,,
【解析】MP3是一种有损压缩音乐文件，采用MPEG-1Layer-3压缩标准。    3    【考纲知识点】声音文件格式,常见的无损音乐文件格式不包括(      )。,C,DFF,APE,MP3,FLAC,,,
【解析】图形又称矢量图形或几何图形，它是用一组指令来描述的。这些指令给出构成该画面的所有基本元素，如直线、曲线、矩形、椭圆……的形状、位置、颜色等各种属性和参数，用于显卡重绘出这些图形。图像又称点阵图像或位图图像，通常用于表现自然景观、人物、动物、植物等复杂的场景。它是在空间和亮度上已经离散化的图像，是由许许多多个像素组合而成的，像素是组成图像最基本的元素。    3    【考纲知识点】图形和图像,以下关于位图图像和矢量图形描述中，正确的一项是(      )。,B,矢量图形常用来表现含有大量细节的对象,位图图像在计算机中用数字描述像素点的位置和颜色,矢量图形一般用扫描仪、数码相机等输入设备捕获,位图图像外部轮廓是由计算机通过公式计算而绘制的直线、圆、矩形、曲线等对象,,,
【解析】在硬盘中，用来记录每个文件的起始单元、文件属性的是文件分配表FAT。    3    【考纲知识点】计算机组装,在硬盘中，用来记录每个文件的起始单元、文件属性的是(      )。,D,主引导记录,目录区,数据区,文件分配表,,,
"【解析】所谓最小系统法是指保留系统能运行的最小环境。对微机来说,最小系统是由主板?内存、显示系统及开关电源组成的系统。    2    【考纲知识点】计算机使用及维修",一般使用最小化系统法，能够进行判断最基础的系统启动与运行能否正常操作，硬件最小化系统不包含(      )。,D,CPU,内存,主板,键盘,,,
【解析】对硬盘分区的操作顺序是：建立主分区、建立扩展分区、建立逻辑分区、激活主分区、确定保存    3    【考纲知识点】计算机硬件的使用及维护,以下对硬盘分区的操作顺序，正确的是(      )。,C,建立扩展分区、建立主分区、建立逻辑分区、激活主分区、确定保存,建立扩展分区、建立逻辑分区、建立主分区、激活主分区、确定保存,建立主分区、建立扩展分区、建立逻辑分区、激活主分区、确定保存,建立主分区、激活主分区、建立扩展分区、建立逻辑分区、确定保存,,,
【解析】CPU的核心数跟其工作频率没有关系。    4    【考纲知识点】计算机硬件，CPU,"以下关于CPU的描述中,有错误的是(      )。",B,CPU的主频即CPU内核工作的时钟频率,在多核时代，CPU的核心数越多，其工作频率肯定越高,CPU的缓存是位于CPU与内存之间的临时存储器，CPU的缓存可以大大提高CPU的工作效率,随着CPU制造工艺的发展，二级缓存也已经集成在CPU的内核中,,,
【解析】BIOS是ROM存储器，CMOS是RAM存储器。    3    【考纲知识点】BIOS与CMOS,"有关BIOS与CMOS的叙述中,不正确的一项是(      )。",D,"BIOS是软件程序,CMOS是硬件",BIOS是CMOS设置的手段,CMOS是BIOS设置参数存放的场所,"BIOS是RAM,CMOS是ROM",,,
【解析】宽屏显示器分辩率在水平方向和垂直方向之比一般为16:9    3    【考纲知识点】显示器的性能参数,下面有关显示器主要性能参数的叙述中，有错误的是(      )。,C,显示器的点距越小，像素密度就越大,17英寸显示器是指其显示屏对角线长度为17英寸,宽屏显示器分辩率在水平方向和垂直方向之比一般为4：3,视频带宽与屏幕分辨率和垂直刷新率成正比,,,
【解析】电源工作状态指示灯标记是POWERLED    2    【考纲知识点】计算机上的指示灯,下面是电源工作状态指示灯标记的是(      )。,C,Turbo LED,Resert,POWER LED,H. D.D  LED,,,
【解析】现在显示卡接口中性能最好的是PCI-E接口。    2    【考纲知识点】显卡接口,显卡主要由显示控制电路、图形处理器GPU、显示存储器和接口电路四个部分组成。现在显卡接口中性能最好的是(      )接口。,B,AGP,PCI-EX16,IDE,ISA,,,
【解析】我们通常所说的芯片组，是指电脑主板上的主芯片组，早期也就是南北桥芯片    3    【考纲知识点】计算机硬件设备,下列有关芯片组的说法中，错误的是(      )。,B,芯片组是PC机各组成部分相互连接和通信的枢纽,芯片组实际上就是主板上的CMOS芯片,主板上所有的存储器控制、I/0控制功能几乎都集成在芯片组内,要根据CPU的类型或参数来选用相应的芯片组,,,
【解析】总线（Bus）是计算机各种功能部件之间传送信息的公共通信干线，它是由导线组成的传输线束，采用总线的结构主要有以下优点：1、面向存储器的双总线结构信息传送效率较高，这是它的主要优点。但CPU与I/O接口都要访问存储器时，仍会产生冲突。2、CPU与高速的局部存储器和局部I/O接口通过高传输速率的局部总线连接，速度较慢的全局存储器和全局I/O接口与较慢的全局总线连接，从而兼顾了高速设备和慢速设备，使它们之间不互相牵扯。3、简化了硬件的设计。便于采用模块化结构设计方法，面向总线的微型计算机设计只要按照这些规定制作cpu插件、存储器插件以及I/O插件等，将它们连入总线就可工作，而不必考虑总线的详细操作。4、简化了系统结构。整个系统结构清晰。连线少，底板连线可以印制化。5、系统扩充性好。一是规模扩充，规模扩充仅仅需要多插一些同类型的插件。二是功能扩充，功能扩充仅仅需要按照总线标准设计新插件，插件插入机器的位置往往没有严格的限制。6、系统更新性能好。因为cpu、存储器、I/O接口等都是按总线规约挂到总线上的，因而只要总线设计恰当，可以随时随着处理器的芯片以及其他有关芯片的进展设计新的插件，新的插件插到底板上对系统进行更新，其他插件和底板连线一般不需要改。7、便于故障诊断和维修。用主板测试卡可以很方便找到出现故障的部位，以及总线类型。    3    【考纲知识点】计算机系统结构,计算机使用总线结构的主要优点是便于实现积木化，同时(      )。,C,减少了通信传输量,提高了通信传输的速度,减少了通信传输线的条数,有利于芯片中布线,,,
【解析】打印机的技术指标ppm表示每分钟打印的页数    3    【考纲知识点】计算机硬件设备,打印机的技术指标有一项用ppm表示，其含义是(      )。,C,每英寸打印的点数,每分钟打印的字数,每分钟打印的页数,每分钟打印的行数,,,
【解析】IEEE802.5通常指令牌环网。    3    【考纲知识点】局域网的工业标准IEEE,下面对局域网的工业标准IEEE的介绍中，不正确的一项是(      )。,C,IEEE 802.3:以太网介质访问控制协议(CSMA/CD)及物理层技术规范,IEEE 802.11：无线局域网(WLAN)的介质访问控制协议及物理层技术规范,IEEE 802.5:采用蓝牙技术的无线个人网(WPAN)技术规范,IEEE 802.4:令牌总线网(Token-Bus)的介质访问控制协议及物理层技术规范,,,
【解析】路由器能根据IP地址转发数据包，并能有效控制网络流量。    4    【考纲知识点】路由器,下面关于路由器的叙述中，不正确的是(      )。,A,路由器不能有效控制网络流量，只能根据IP地址转发数据包,路由器工作时必须依靠路由表，建立路由表有静态和动态两种方式,路由器是在网络层上实现多个网络互连的设备，是构成Internet中心结点的主要设备,路由器可以用来互连两个或多个独立的相同类型或不同类型的网络,,,
【解析】数据分析与挖掘技术不是大数据特有的技术，大数据技术的战略意义不在于掌握庞大的数据信息，而在于对这些含有意义的数据进行专业化处理。    3    【考纲知识点】大数据,下列关于大数据的叙述中，不正确的是(      )。,B,大数据的4个特点是体量大，多样性，价值密度低和快速化,数据分析与挖掘技术是大数据特有的技术,大数据在电商、电信、金融等行业都有巨大的社会价值和产业空间,分布式文件系统能提供高吞吐量数据访问，适合在大规模数据集上应用,,,
【解析】“互联网+”就是“互联网+各个传统行业”，但这并不是简单的两者相加，而是利用信息通信技术以及互联网平台，让互联网与传统行业进行深度融合，创造新的发展生态。它代表一种新的社会形态，即充分发挥互联网在社会资源配置中的优化和集成作用，将互联网的创新成果深度融合于经济、社会各域之中，提升全社会的创新力和生产力，形成更广泛的以互联网为基础设施和实现工具的经济发展新形态。    3    【考纲知识点】互联网+,(      )的本质是通过信息化技术，促进各领域各产业融合，提高产业自动化和经营水平，全面提高产业竞争力。,C,物联网,云计算,互联网+,深度学习,,,
【解析】设置IP地址MAC绑定的目的是防止非法接入。    3    【考纲知识点】计算机网络设备的使用,"在网络设备中,设置IP地址与MAC绑定的目的是(      )。",B,防止泄露网络相关信息,防止非法接入,加强认证,防止DOS攻击,,,
【解析】DHCP服务器的作用是自动分配IP地址    2    【考纲知识点】DHCP,"在局域网中,设置DHCP服务器的作用是(      )。",A,自动分配IP地址,配置域名解析,解析IP地址,实现远程协助管理,,,
【解析】10Base2，它的传输速率为10Mbit/s，采用基带传输技术，每个网段的距离限制为185米。它被称为细缆网，在单个网段上最多可支持30个工作站。它采用的是带AUI（AttachmentUnitInterface）连机器的总线结构，并且在物理上和逻辑上都采用总线结构。10Base2以太网网卡使用BNC（BritishNavalConnectors、BayonetNeillConcelman或BayonetNutConnector）和T型连接器连接到网络中。（CCNA学习指南第六版定义）10表示传输速率为10Mbit/s，Base表示采用基带传输技术，2表示最大距离几乎为200米。    3    【考纲知识点】10Base2局域网,"10BASE-2结构中,每段线缆最大的传送距离是(      )。",C,50米,100米,185米,200米,,,
【解析】Internet的前身是ARPANET    2    【考纲知识点】Internet,"众所周知,Internet的前身是(      )网络。",A,ARPANET,INTERNET,Netware,Intranet,,,
【解析】动态路由是指路由器能够自动地建立自己的路由表，并且能够根据实际情况的变化适时地进行调整。因此为了保证路由信息完整性，动态路由协议采用了认证机制。    4    【考纲知识点】动态路由,要对动态路由协议采用认证机制的原因是(      )。,A,保证路由信息完整性,保证路由信息机密性,保证网络路由的健壮,防止路由回路,,,
【解析】UDP是TCP/IP中传输层上的协议。    2    【考纲知识点】传输层协议,下列(      )是工作在TCP/IP体系结构中传输层上的协议。,C,TDP,TTP,UDP,UTP,,,
【解析】在进行模拟/数字信号的转换过程中，当采样频率fs.max大于信号中最高频率fmax的2倍时(fs.max>2fmax)，采样之后的数字信号完整地保留了原始信号中的信息，一般实际应用中保证采样频率为信号最高频率的2.56～4倍；采样定理又称奈奎斯特定理。    2    【考纲知识点】奈奎斯特采样定理,PC获取数字声音时，首先需要对模拟声音信号进行采样。对频带宽度达20kHz的音乐取样时，为了产生的失真尽可能的少，下面4种采样频率中哪一种最合适(      )。,B,44.1kHz,80kHz,120kHz,20kHz,,,
"【解析】A错，通信子网中也有计算机，用于对通信链路进行管理，这类计算机就属于通信子网的范畴；B错，串行传输方式中的全双工工作模式就有两个通信信道；C错，异步传输是面向字符的传输,同步传输是面向比特的传输。    3    【考纲知识点】通信基础知识",下列关于通信基础知识的叙述中，正确的一项是(      )。,D,在数据通信系统中，信源和信宿被称为数据终端设备(DTE)，计算机能提供共享资源，所以只要是计算机，就一定属于资源子网的范畴,串行传输方式将数据一位一位地依次进行传输，每一位数据占据一个固定的时间长度，这种传输方式只能有一个通信信道,异步传输是面向比特的传输，同步传输是面向字符的传输,报文交换技术与虚电路交换技术都不会产生失序问题,,,
【解析】139.9.255.8是一个A类的IP地址，可以分配给主机作单播地址使用。    3    【考纲知识点】IP地址,下列IP地址中，可以分配给主机作为单播通信地址的是(      )。,A,139.9.255.8,225.21.19.109,205.5.91.255,127.0.0.1,,,
【解析】从逻辑上讲，计算机网络由通信子网和资源子网两大部分组成。计算机网络拓扑学首先把实体抽象成与其大小、形状无关的点，将连接实体的线路抽象成线，进而研究点、线、面之间的关系。在计算机网络中，有一些计算机是用于通信控制的，这些计算机属于通信子网范畴。    3    【考纲知识点】计算机网络的组成,下面关于计算机网络结构的叙述中，正确的一项是(      )。,C,计算机网络系统从功能上可以分为通信子网和资源子网两种类型的网络,计算机网络与一般计算机互联系统的区别，是以有无高性能计算机作为服务器作为依据的,组成网络的计算机实体相互之间的物理连接情况称为网络拓扑结构,在计算机网络中，只要是计算机就属于资源子网范畴,,,
【解析】WWW是应用层提供的服务，不是协议；应用层上工作的设备有网关；TCP/IP网络的应用层对应着OSI的有吗三层。    4    【考纲知识点】OSI-RM应用层,"下面关于OSI-RM应用层的叙述中,正确的一项是(      )。",A,OSI应用层直接面向用户的具体应用，为操作系统或网络应用程序提供访问网络服务的接口,应用层上工作的协议有:DNS、FTP、WWW、SMTP、HTTP、Telnet等,没有工作在应用层上的网络硬件设备,OSI的应用层对应着TCP/IP网络的应用层,,,
【解析】TCP、UDP协议都是工作在传输层的协议，都提供端到端的传输服务。    4    【考纲知识点】TCP和UDP协议,"下面关于TCP和UDP协议的比较中,有错误的是(      )。",A,TCP协议提供端到端的传输服务，UDP协议提供点到点的传输服务,TCP协议提供可靠的传输服务，UDP协议提供不可靠的传输服务,TCP协议提供面向连接的传输服务，UDP协议提供面向无连接的传输服务,TCP协议和UDP协议都是工作于传输层,,,
